year,asset_id,native_asset_id,asset_name,iso3_country,original_inventory_sector,activity,emissions_quantity,emissions_quantity_new,emissions_quantity_avoided,annexOrNot,lat,lon
2023,725245,mex636,Basurero Municipal,MEX,solid-waste-disposal,62745.24353,2882.830214,530.8875055,2351.942709,false,21.863955,-105.1546733
2023,725461,mex852,Basurero Municipal,MEX,solid-waste-disposal,69467.94679,2939.397233,587.7682978,2351.628935,false,19.947795,-96.861495
2023,25772955,wa135,Thiva Landfill,GRC,solid-waste-disposal,46700.66544,2746.279332,395.1343303,2351.145002,true,38.33435169,23.38160992
2023,728569,met3609,OpenStreetMap Landfill,TUR,solid-waste-disposal,48502.5805,2759.554318,410.3803336,2349.173984,true,37.39385518,42.52016007
2023,25770880,lmop787,City Of Bowling Green Lf,USA,solid-waste-disposal,58377.35004,2841.225626,493.9307587,2347.294868,true,37.03,-86.5275
2023,25768894,lmop91,Toa Alta Landfill,USA,solid-waste-disposal,220772.54,4215.210107,1867.956461,2347.253646,true,18.371747,-66.265148
2023,725603,mex994,Basurero Municipal,MEX,solid-waste-disposal,69467.94679,2934.256605,587.7682978,2346.488307,false,21.65385,-98.9771333
2023,728566,met3606,OpenStreetMap Landfill,TUR,solid-waste-disposal,51493.09802,2777.125762,435.6831024,2341.44266,true,38.16661421,41.92936729
2023,727739,met2543,OpenStreetMap Landfill,AUS,solid-waste-disposal,99622.15948,3184.123461,842.9030913,2341.22037,true,-26.39750406,147.1186603
2023,726230,mex1514,"Relleno Sanitario Intermunicipal Acacoyahua, Acapetahua, Escuintla Y Villacomaltitlan",MEX,solid-waste-disposal,68347.49968,2917.959804,578.2881948,2339.671609,false,15.26692796,-92.6258955
2023,25769000,can50,Halton Waste Management Site,CAN,solid-waste-disposal,99745.16642,3180.524249,843.943853,2336.580396,true,43.4727,-79.8337
2023,25768689,epa850,Midway Landfill,USA,solid-waste-disposal,315486.954,5004.885038,2669.335117,2335.54992,true,38.5475,-104.657819
2023,729410,met5884,OpenStreetMap Landfill,UKR,solid-waste-disposal,53511.56352,2788.112994,452.761339,2335.351655,true,50.0728143,25.74514583
2023,728186,met3226,OpenStreetMap Landfill,TUR,solid-waste-disposal,55431.05528,2801.651827,469.0021587,2332.649668,true,38.97808306,31.25969796
2023,25770594,lmop501,Solley Road Landfill,USA,solid-waste-disposal,56141.67996,2806.073448,475.0147541,2331.058694,true,39.160313,-76.575042
2023,726567,mex1844,Sitio De Disposicion Final Relleno Sanitario,MEX,solid-waste-disposal,71708.85125,2937.768218,606.7285904,2331.039628,false,23.87593611,-106.8238139
2023,25767874,epa36,Cedar Rapids/Linn County Solid Waste Agency Site #1,USA,solid-waste-disposal,377.00004,2333.860218,3.189797338,2330.67042,true,41.96469,-91.65193
2023,727522,met2326,OpenStreetMap Landfill,LSO,solid-waste-disposal,61663.39428,2850.945371,521.733979,2329.211392,false,-29.31432092,27.53928634
2023,728195,met3235,OpenStreetMap Landfill,TUR,solid-waste-disposal,52327.22613,2771.092914,442.7406603,2328.352254,true,39.78917802,30.25714733
2023,25770414,lmop321,Roane County Solid Waste Authority,USA,solid-waste-disposal,58059.84,2819.38583,491.2443062,2328.141524,true,35.858,-84.578
2023,25769938,eprtr694,Javno Podjetje Vodovod Kanalizacija Snaga,SVN,solid-waste-disposal,54301.77185,2786.984138,459.4472916,2327.536847,true,46.020878,14.476911
2023,726740,mex2008,Tiradero Municipal De La Peñita De Jaltemba,MEX,solid-waste-disposal,67227.04233,2896.073757,568.8080052,2327.265751,false,21.00976111,-105.2536361
2023,25769278,eprtr34,"Depo Za Neopasni Otpadatsi V Mestnostta ""Mandra Bair""",BGR,solid-waste-disposal,54221.81437,2782.880401,458.7707714,2324.109629,true,42.363059,25.569703
2023,25770957,lmop864,Haverstraw Slf,USA,solid-waste-disposal,59874.21,2830.194032,506.5956908,2323.598342,true,41.2129,-73.9698
2023,729978,met6542,OpenStreetMap Landfill,NPL,solid-waste-disposal,54995.05769,2787.864459,465.3131831,2322.551276,false,27.77690251,85.24487546
2023,729539,met6103,OpenStreetMap Landfill,KAZ,solid-waste-disposal,49856.82484,2742.574078,421.838595,2320.735483,false,47.64816388,51.7015318
2023,727028,met12,OpenStreetMap Landfill,ARG,solid-waste-disposal,71682.75061,2926.08988,606.5077529,2319.582127,false,-35.42764285,-60.87308531
2023,728983,met4043,OpenStreetMap Landfill,RUS,solid-waste-disposal,60975.61174,2834.390336,515.9146509,2318.475685,true,57.72424883,39.10597693
2023,724981,mex372,Basurero Municipal De Pungarabato,MEX,solid-waste-disposal,72829.29836,2933.272821,616.2086934,2317.064127,false,18.33987833,-100.6016694
2023,729012,met4072,OpenStreetMap Landfill,RUS,solid-waste-disposal,54426.9296,2776.64424,460.5062513,2316.137989,true,57.45972135,48.67228655
2023,25769304,eprtr60,Deponie Stralendorf,DEU,solid-waste-disposal,54025.3585,2772.7975,457.1085583,2315.688942,true,53.5699289,11.32343655
2023,727977,met2781,OpenStreetMap Landfill,TUN,solid-waste-disposal,72087.69001,2924.525496,609.9339452,2314.591551,false,35.806402,10.37361454
2023,729856,met6420,OpenStreetMap Landfill,CHN,solid-waste-disposal,115895.2508,3292.0046,980.5897174,2311.414883,false,35.29310908,119.3385275
2023,724688,mex79,Basurero De Fonatur,MEX,solid-waste-disposal,58476.32557,2805.167814,494.7681906,2310.399623,false,15.769067,-96.152529
2023,728217,met3257,OpenStreetMap Landfill,TUR,solid-waste-disposal,53036.27586,2759.106179,448.7399301,2310.366249,true,39.73794142,32.57682871
2023,727263,met247,OpenStreetMap Landfill,BRA,solid-waste-disposal,70010.41929,2901.161765,592.3581576,2308.803607,false,-6.521889986,-37.44134676
2023,726319,mex1603,Relleno Sanitario Municipal,MEX,solid-waste-disposal,64986.14799,2857.635886,549.8477982,2307.788088,false,20.51955278,-99.86438611
2023,727740,met2544,OpenStreetMap Landfill,AUS,solid-waste-disposal,111270.1518,3248.977163,941.4567546,2307.520409,true,-24.26183142,144.4334857
2023,25769768,eprtr524,Discarica Per Rifiuti Non Pericolosi,ITA,solid-waste-disposal,53828.90264,2762.714599,455.4463452,2307.268254,true,38.930555,16.391111
2023,25769895,eprtr651,Sc Salubris S.A.,ROU,solid-waste-disposal,53828.90264,2762.714599,455.4463452,2307.268254,true,47.151187,27.742629
